Name,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
Page_0001_1_1_1_out,132.4228855721393,32.75373134328358,261.0,87.0,127.0,136.0,94.0,2.0,94.0,53.0,115.0,15.0,115.0,84.0,168.0,16.0,168.0,78.0,181.0,7.0,181.0,51.0
Page_0001_1_1_2_in,110.9375,32.9375,211.0,81.0,114.0,136.0,84.0,4.0,84.0,45.0,98.0,11.0,98.0,71.0,157.0,22.0,157.0,62.0,158.0,19.0,158.0,42.0
Page_0001_1_1_3_out,155.1013215859031,34.39647577092511,306.0,89.0,160.0,174.0,118.0,1.0,118.0,60.0,142.0,13.0,142.0,84.0,188.0,23.0,188.0,86.0,203.0,14.0,203.0,57.0
Page_0001_1_1_4_in,87.57666666666667,37.67,183.0,82.0,76.0,98.0,48.0,2.0,48.0,51.0,67.0,11.0,67.0,79.0,116.0,25.0,116.0,71.0,120.0,22.0,120.0,50.0
Page_0001_1_2_1_in,149.89269406392694,30.958904109589042,291.0,83.0,145.0,171.0,110.0,2.0,110.0,54.0,127.0,8.0,127.0,77.0,184.0,9.0,184.0,79.0,203.0,2.0,203.0,47.0
Page_0001_1_2_2_out,109.30513595166163,29.764350453172206,224.0,73.0,97.0,110.0,70.0,1.0,70.0,45.0,81.0,9.0,81.0,66.0,136.0,16.0,136.0,62.0,141.0,12.0,141.0,37.0
Page_0001_1_2_3_in,119.64764267990074,41.4863523573201,238.0,100.0,114.0,125.0,71.0,14.0,71.0,60.0,85.0,19.0,85.0,92.0,140.0,13.0,140.0,97.0,167.0,1.0,167.0,61.0
Page_0001_1_2_4_out,120.54347826086956,33.18478260869565,231.0,86.0,115.0,134.0,90.0,11.0,90.0,51.0,102.0,19.0,102.0,80.0,146.0,14.0,146.0,82.0,164.0,3.0,164.0,49.0
Page_0001_1_3_1_in,101.72701149425288,39.1551724137931,196.0,87.0,87.0,120.0,52.0,8.0,52.0,57.0,70.0,19.0,70.0,82.0,131.0,10.0,131.0,83.0,155.0,1.0,155.0,54.0
Page_0001_1_3_2_out,113.15047021943573,35.78369905956113,198.0,80.0,123.0,136.0,99.0,11.0,99.0,51.0,113.0,20.0,113.0,77.0,161.0,10.0,161.0,68.0,175.0,3.0,175.0,48.0
Page_0001_1_3_3_in,120.12394366197184,35.943661971830984,235.0,84.0,108.0,129.0,77.0,11.0,77.0,54.0,89.0,20.0,89.0,77.0,158.0,14.0,158.0,72.0,172.0,7.0,172.0,49.0
Page_0001_1_3_4_out,113.02064896755162,25.678466076696164,236.0,70.0,96.0,109.0,63.0,4.0,63.0,40.0,70.0,10.0,70.0,60.0,127.0,10.0,127.0,61.0,135.0,4.0,135.0,37.0
Page_0001_1_4_1_in,100.54458598726114,35.02547770700637,214.0,76.0,81.0,104.0,48.0,3.0,48.0,44.0,58.0,9.0,58.0,64.0,123.0,19.0,123.0,64.0,127.0,17.0,127.0,42.0
Page_0001_1_4_2_out,118.63172043010752,33.76881720430107,245.0,80.0,112.0,129.0,69.0,2.0,69.0,42.0,97.0,16.0,97.0,76.0,144.0,24.0,144.0,75.0,154.0,16.0,154.0,56.0
Page_0001_1_4_3_in,105.28938906752411,33.733118971061096,199.0,81.0,107.0,126.0,79.0,4.0,79.0,43.0,98.0,13.0,98.0,77.0,152.0,20.0,152.0,66.0,158.0,19.0,158.0,47.0
Page_0001_1_4_4_out,133.84102564102565,39.55897435897436,267.0,90.0,122.0,152.0,85.0,5.0,85.0,57.0,106.0,22.0,106.0,85.0,174.0,32.0,174.0,82.0,187.0,22.0,187.0,67.0
Page_0001_1_5_1_in,101.22636103151862,30.56160458452722,224.0,83.0,76.0,94.0,43.0,3.0,43.0,41.0,57.0,9.0,57.0,73.0,106.0,15.0,106.0,75.0,121.0,9.0,121.0,47.0
Page_0001_1_5_2_out,97.77077363896848,47.32378223495702,199.0,96.0,88.0,114.0,47.0,8.0,47.0,63.0,71.0,24.0,71.0,91.0,125.0,26.0,125.0,93.0,141.0,18.0,141.0,71.0
Page_0001_1_5_3_in,112.41194029850746,29.686567164179106,214.0,80.0,115.0,128.0,82.0,3.0,82.0,42.0,99.0,12.0,99.0,73.0,150.0,11.0,150.0,69.0,163.0,7.0,163.0,47.0
Page_0001_1_5_4_out,111.12994350282486,36.42372881355932,217.0,85.0,103.0,130.0,72.0,1.0,72.0,52.0,89.0,12.0,89.0,79.0,150.0,17.0,150.0,78.0,161.0,9.0,161.0,51.0
Page_0001_1_6_1_out,111.95918367346938,32.34402332361516,218.0,84.0,112.0,125.0,81.0,4.0,81.0,47.0,102.0,17.0,102.0,80.0,143.0,19.0,143.0,75.0,154.0,13.0,154.0,52.0
Page_0001_1_6_2_in,118.2103825136612,50.84426229508197,243.0,100.0,112.0,134.0,61.0,7.0,61.0,60.0,85.0,23.0,85.0,91.0,161.0,43.0,161.0,91.0,170.0,37.0,170.0,75.0
Page_0001_1_6_3_out,98.44728434504792,40.22044728434505,203.0,85.0,89.0,108.0,58.0,8.0,58.0,51.0,73.0,18.0,73.0,78.0,121.0,31.0,121.0,78.0,131.0,24.0,131.0,59.0
Page_0001_1_6_4_in,92.13149847094802,42.235474006116206,196.0,88.0,83.0,108.0,37.0,1.0,37.0,52.0,57.0,11.0,57.0,80.0,125.0,26.0,125.0,81.0,134.0,18.0,134.0,56.0
Page_0001_1_7_1_out,134.71323529411765,39.71813725490196,269.0,94.0,118.0,128.0,90.0,16.0,90.0,60.0,102.0,23.0,102.0,89.0,162.0,20.0,162.0,85.0,180.0,6.0,180.0,57.0
Page_0001_1_7_2_in,110.83641975308642,29.90432098765432,209.0,76.0,123.0,132.0,86.0,2.0,86.0,43.0,102.0,10.0,102.0,69.0,151.0,15.0,151.0,67.0,160.0,11.0,160.0,42.0
Page_0001_1_7_3_out,146.96380090497738,37.16968325791855,290.0,94.0,144.0,168.0,104.0,8.0,104.0,63.0,121.0,18.0,121.0,86.0,174.0,20.0,174.0,93.0,192.0,7.0,192.0,58.0
Page_0001_1_7_4_in,86.2568493150685,30.325342465753426,176.0,71.0,71.0,99.0,44.0,2.0,44.0,41.0,61.0,12.0,61.0,67.0,113.0,11.0,113.0,65.0,125.0,6.0,125.0,41.0
Page_0001_2_1_1_out,101.4756446991404,32.931232091690546,210.0,78.0,88.0,107.0,62.0,4.0,62.0,46.0,75.0,14.0,75.0,72.0,119.0,21.0,119.0,72.0,132.0,15.0,132.0,50.0
Page_0001_2_1_2_in,106.60335195530726,34.82122905027933,212.0,79.0,101.0,116.0,54.0,6.0,54.0,48.0,66.0,11.0,66.0,68.0,143.0,10.0,143.0,69.0,158.0,3.0,158.0,45.0
Page_0001_2_1_3_out,110.40568475452196,30.989664082687337,217.0,78.0,108.0,130.0,79.0,4.0,79.0,45.0,93.0,11.0,93.0,71.0,133.0,13.0,133.0,76.0,150.0,5.0,150.0,53.0
Page_0001_2_1_4_in,130.5852534562212,38.14976958525346,257.0,92.0,126.0,144.0,88.0,3.0,88.0,58.0,109.0,16.0,109.0,86.0,170.0,17.0,170.0,86.0,183.0,10.0,183.0,59.0
Page_0001_2_2_1_in,102.7328990228013,31.39413680781759,180.0,77.0,117.0,130.0,80.0,1.0,80.0,40.0,95.0,9.0,95.0,68.0,142.0,10.0,142.0,73.0,158.0,3.0,158.0,43.0
Page_0001_2_2_2_out,107.0264705882353,34.96470588235294,206.0,84.0,96.0,118.0,69.0,6.0,69.0,52.0,86.0,17.0,86.0,80.0,141.0,11.0,141.0,75.0,158.0,1.0,158.0,51.0
Page_0001_2_2_3_in,106.1466275659824,30.316715542521994,215.0,85.0,105.0,110.0,64.0,5.0,64.0,47.0,75.0,12.0,75.0,71.0,125.0,16.0,125.0,79.0,142.0,6.0,142.0,45.0
Page_0001_2_2_4_out,94.30029154518951,39.10204081632653,191.0,89.0,90.0,106.0,43.0,4.0,43.0,58.0,61.0,15.0,61.0,80.0,118.0,13.0,118.0,85.0,138.0,4.0,138.0,62.0
Page_0001_2_3_1_in,123.68834688346884,33.45528455284553,237.0,78.0,115.0,146.0,86.0,6.0,86.0,52.0,100.0,15.0,100.0,74.0,163.0,13.0,163.0,72.0,181.0,3.0,181.0,48.0
Page_0001_2_3_2_out,123.03724928366762,30.401146131805156,233.0,76.0,122.0,145.0,100.0,14.0,100.0,48.0,109.0,23.0,109.0,71.0,154.0,9.0,154.0,72.0,163.0,2.0,163.0,51.0
Page_0001_2_3_3_in,111.96923076923076,35.7,231.0,83.0,92.0,128.0,52.0,2.0,52.0,57.0,85.0,17.0,85.0,82.0,146.0,13.0,146.0,78.0,165.0,5.0,165.0,54.0
Page_0001_2_3_4_out,101.76282051282051,42.625,183.0,92.0,104.0,120.0,78.0,22.0,78.0,64.0,86.0,29.0,86.0,85.0,131.0,16.0,131.0,87.0,151.0,6.0,151.0,55.0
Page_0001_2_4_1_out,106.2264631043257,49.791348600508904,226.0,99.0,109.0,124.0,47.0,6.0,47.0,69.0,88.0,31.0,88.0,95.0,138.0,36.0,138.0,96.0,151.0,28.0,151.0,75.0
Page_0001_2_4_2_in,94.27761194029851,30.101492537313433,206.0,80.0,66.0,82.0,41.0,7.0,41.0,54.0,56.0,16.0,56.0,76.0,105.0,12.0,105.0,71.0,119.0,2.0,119.0,42.0
Page_0001_2_4_3_out,112.15229885057471,34.048850574712645,218.0,78.0,107.0,136.0,68.0,4.0,68.0,51.0,81.0,13.0,81.0,72.0,150.0,14.0,150.0,76.0,164.0,3.0,164.0,45.0
Page_0001_2_4_4_in,120.5,27.3135593220339,235.0,75.0,117.0,140.0,84.0,3.0,84.0,39.0,98.0,10.0,98.0,67.0,155.0,8.0,155.0,68.0,166.0,2.0,166.0,43.0
Page_0001_2_5_1_out,93.22364217252397,37.95527156549521,194.0,84.0,87.0,98.0,56.0,3.0,56.0,55.0,76.0,14.0,76.0,81.0,117.0,28.0,117.0,74.0,121.0,24.0,121.0,56.0
Page_0001_2_5_2_in,98.19411764705882,35.258823529411764,203.0,85.0,87.0,109.0,48.0,1.0,48.0,50.0,66.0,9.0,66.0,78.0,127.0,13.0,127.0,76.0,141.0,8.0,141.0,49.0
Page_0001_2_5_3_out,117.43490304709141,30.26038781163435,229.0,76.0,126.0,148.0,86.0,4.0,86.0,54.0,101.0,14.0,101.0,71.0,139.0,20.0,139.0,76.0,156.0,10.0,156.0,59.0
Page_0001_2_5_4_in,125.3862433862434,42.523809523809526,249.0,93.0,124.0,154.0,81.0,8.0,81.0,54.0,103.0,23.0,103.0,86.0,164.0,32.0,164.0,90.0,175.0,27.0,175.0,65.0
Page_0001_2_6_1_in,113.55780346820809,29.502890173410403,213.0,72.0,109.0,148.0,84.0,5.0,84.0,49.0,95.0,13.0,95.0,69.0,141.0,9.0,141.0,72.0,162.0,2.0,162.0,52.0
Page_0001_2_6_2_out,108.94,33.16,219.0,80.0,100.0,119.0,63.0,1.0,63.0,48.0,80.0,11.0,80.0,74.0,142.0,14.0,142.0,71.0,157.0,3.0,157.0,46.0
Page_0001_2_6_3_in,105.9971098265896,27.271676300578033,221.0,76.0,88.0,104.0,58.0,2.0,58.0,45.0,69.0,9.0,69.0,69.0,126.0,7.0,126.0,66.0,140.0,2.0,140.0,44.0
Page_0001_2_6_4_out,97.77871148459384,41.260504201680675,196.0,98.0,91.0,107.0,50.0,4.0,50.0,59.0,67.0,14.0,67.0,89.0,118.0,17.0,118.0,95.0,142.0,7.0,142.0,60.0
Page_0001_2_7_1_out,141.3189448441247,42.55875299760192,269.0,98.0,160.0,170.0,106.0,4.0,106.0,65.0,133.0,24.0,133.0,92.0,186.0,32.0,186.0,93.0,202.0,23.0,202.0,66.0
Page_0001_2_7_2_in,106.7459807073955,33.167202572347264,198.0,78.0,122.0,143.0,85.0,3.0,85.0,47.0,101.0,11.0,101.0,71.0,154.0,25.0,154.0,69.0,157.0,19.0,157.0,42.0
Page_0001_2_7_3_out,147.2,33.90222222222222,300.0,87.0,138.0,156.0,96.0,2.0,96.0,59.0,114.0,12.0,114.0,81.0,169.0,17.0,169.0,84.0,186.0,7.0,186.0,59.0
Page_0001_2_7_4_in,93.83387622149837,38.48534201954397,202.0,82.0,70.0,89.0,45.0,4.0,45.0,47.0,66.0,17.0,66.0,80.0,120.0,24.0,120.0,63.0,125.0,22.0,125.0,48.0
Page_0001_3_1_1_out,131.70909090909092,33.4025974025974,253.0,82.0,125.0,146.0,92.0,7.0,92.0,52.0,107.0,18.0,107.0,76.0,169.0,16.0,169.0,77.0,190.0,3.0,190.0,53.0
Page_0001_3_1_2_in,120.57264957264957,33.21367521367522,223.0,79.0,125.0,149.0,91.0,7.0,91.0,42.0,101.0,8.0,101.0,67.0,163.0,9.0,163.0,76.0,175.0,4.0,175.0,53.0
Page_0001_3_1_3_out,135.56399132321042,41.48373101952278,276.0,98.0,104.0,138.0,74.0,6.0,74.0,77.0,95.0,17.0,95.0,97.0,161.0,13.0,161.0,94.0,191.0,1.0,191.0,63.0
Page_0001_3_1_4_in,92.82874617737004,28.05504587155963,201.0,78.0,67.0,87.0,43.0,3.0,43.0,46.0,55.0,12.0,55.0,72.0,102.0,8.0,102.0,71.0,119.0,1.0,119.0,43.0
Page_0001_3_2_1_in,140.04980079681275,43.18326693227092,274.0,99.0,105.0,146.0,73.0,7.0,73.0,73.0,93.0,16.0,93.0,97.0,169.0,10.0,169.0,94.0,198.0,1.0,198.0,61.0
Page_0001_3_2_2_out,107.15665796344648,28.671018276762403,227.0,75.0,91.0,105.0,57.0,3.0,57.0,51.0,73.0,12.0,73.0,70.0,118.0,11.0,118.0,71.0,136.0,2.0,136.0,53.0
Page_0001_3_2_3_in,147.35320088300222,40.326710816777044,268.0,89.0,171.0,207.0,116.0,1.0,116.0,52.0,139.0,8.0,139.0,81.0,213.0,23.0,213.0,87.0,227.0,17.0,227.0,58.0
Page_0001_3_2_4_out,113.83602150537635,32.666666666666664,227.0,79.0,114.0,128.0,83.0,4.0,83.0,50.0,98.0,15.0,98.0,73.0,146.0,21.0,146.0,71.0,152.0,15.0,152.0,47.0
Page_0001_3_3_1_out,137.59183673469389,34.38265306122449,267.0,83.0,132.0,149.0,98.0,10.0,98.0,50.0,108.0,20.0,108.0,74.0,174.0,11.0,174.0,74.0,191.0,1.0,191.0,52.0
Page_0001_3_3_2_in,106.21495327102804,30.498442367601246,206.0,75.0,106.0,119.0,74.0,3.0,74.0,42.0,86.0,10.0,86.0,68.0,141.0,13.0,141.0,68.0,149.0,8.0,149.0,39.0
Page_0001_3_3_3_out,160.04157549234137,31.36323851203501,312.0,85.0,159.0,187.0,126.0,5.0,126.0,52.0,142.0,16.0,142.0,80.0,190.0,17.0,190.0,84.0,209.0,5.0,209.0,56.0
Page_0001_3_3_4_in,86.85667752442997,35.08794788273616,184.0,81.0,64.0,85.0,44.0,4.0,44.0,44.0,55.0,14.0,55.0,77.0,108.0,13.0,108.0,70.0,119.0,9.0,119.0,45.0
Page_0001_3_4_1_in,146.70506912442397,43.46082949308756,290.0,101.0,158.0,178.0,105.0,5.0,105.0,60.0,130.0,18.0,130.0,93.0,185.0,36.0,185.0,98.0,196.0,29.0,196.0,71.0
